transpotation,start,-,-,-,end,-,-,-,-,-,-,-,-,,
type,date,country,region,type,type,date,country,region,type,time(Min),price,currency,memo,,
Bike,2022/6/2,AUS,Alice Springs,Stop,2022/6/2,AUS,Alice Springs,Stop,28,180,0,AUD,Rental bike,,
Bus,2022/6/3,AUS,Alice Springs,Stop,2022/6/4,AUS,Darwin,Stop,1496,1320,0,AUD,WithLimitedPass,,
Bus,2022/6/6,AUS,Darwin,Stop,2022/6/6,AUS,Darwin,Suberb,6,30,3,AUD,East point,,
Bus,2022/6/6,AUS,Darwin,Suberb,2022/6/6,AUS,Darwin,Stop,6,30,3,AUD,-,,
Bus,2022/6/6,AUS,Darwin,Stop,2022/6/6,AUS,Darwin,Park,14.5,30,3,AUD,-,,
Bus,2022/6/6,AUS,Darwin,Stop,2022/6/6,AUS,Darwin,Stop,14.5,30,3,AUD,-,,
Bus,2022/6/7,AUS,Darwin,Stop,2022/6/7,AUS,Darwin,AirPort,10.8,30,3,AUD,-,,
AirPlane,2022/6/7,AUS,Darwin,AirPort,2022/6/7,AUS,Cairns,AirPort,2722,180,18107,JPY,-,,
Bus,2022/6/7,AUS,Cairns,AirPort,2022/6/7,AUS,Cairns,Inn,5.7,30,5,AUD,-,,
Bus,2022/6/8,AUS,Cairns,Inn,2022/6/8,AUS,Cairns,Central,1,10,0,AUD,-,,
Bus,2022/6/9,AUS,Cairns,Central,2022/6/9,AUS,palm cove,Beach,25.4,60,3,AUD,-,,
Bus,2022/6/10,AUS,palm cove,Beach,2022/6/10,AUS,Cairns,Central,25.4,60,3,AUD,-,,
Bus,2022/6/10,AUS,Cairns,Central,2022/6/10,AUS,Cairns,Suberb,18,30,3,AUD,-,,
Bus,2022/6/10,AUS,Cairns,Suberb,2022/6/10,AUS,Cairns,Central,18,30,3,AUD,-,,
Bus,2022/6/12,AUS,Cairns,Central,2022/6/12,AUS,townsville,Central,347,360,0,AUD,WithLimitedPass,,
Bus,2022/6/13,AUS,townsville,Central,2022/6/13,AUS,Airlie Beach,Central,274,300,0,AUD,WithLimitedPass,,
Bus,2022/6/14,AUS,Airlie Beach,Central,2022/6/14,AUS,Airlie Beach,Port,12.4,20,1.5,AUD,Shute Harbour,,
Bus,2022/6/14,AUS,Airlie Beach,Port,2022/6/14,AUS,Airlie Beach,Central,12.4,20,1.5,AUD,-,,
Bus,2022/6/15,AUS,Airlie Beach,Central,2022/6/15,AUS,Airlie Beach,Suberb,18,30,1.5,AUD,-,,
Bus,2022/6/15,AUS,Airlie Beach,Suberb,2022/6/15,AUS,Airlie Beach,Central,18,30,1.5,AUD,-,,
Bus,2022/6/16,AUS,Airlie Beach,Central,2022/6/17,AUS,Brisbane,Central,1124,1140,0,AUD,WithLimitedPass,,
Boat,2022/6/17,AUS,Brisbane,Central,2022/6/17,AUS,Brisbane,Port,1,5,1.5,AUD,City Cat,,
Boat,2022/6/17,AUS,Brisbane,Port,2022/6/17,AUS,Brisbane,Central,2,15,1.5,AUD,City Cat,,
Train,2022/6/18,AUS,Brisbane,Central,2022/6/18,AUS,Gold coast,Central,77.7,80,16.6,AUD,-,,
Bus,2022/6/19,AUS,Gold coast,Central,2022/6/19,AUS,Gold coast,Stop,33.4,90,1.5,AUD,Snapper Rocks,,
Bus,2022/6/19,AUS,Gold coast,Stop,2022/6/19,AUS,Gold coast,Central,33.4,90,1.5,AUD,-,,
